Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.5,63250667,28,2258952.4,2255374.5,2233694,2304894,17662.6,"void gsplat::rasterize_to_pixels_3dgs_fwd_kernel<(unsigned int)5, (unsigned int)16, (unsigned int)256>(unsigned int, unsigned int, bool, const glm::vec<(int)2, float, (glm::qualifier)0> *, const glm::vec<(int)3, float, (glm::qualifier)0> *, const float *, const float *, const float *, const bool *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, const int *, const int *, float *, float *, int *)"
15.4,20496851,168,122005.1,121217.5,97633,150306,14216.5,"void cub::CUB_200700_890_NS::DeviceRadixSortOnesweepKernel<cub::CUB_200700_890_NS::DeviceRadixSortPolicy<long, int, unsigned long long>::Policy900, (bool)0, long, int, unsigned long long, int, int, cub::CUB_200700_890_NS::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
10.0,13319124,56,237841.5,237331.5,200387,275940,35090.4,"void gsplat::intersect_tile_kernel<float>(long, long, bool, unsigned int, unsigned int, unsigned int, const long *, const long *, const T1 *, const int *, const T1 *, const float *, const float *, const long *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, long, long, const bool *, int *, long *, int *)"
8.0,10607949,56,189427.7,189218.5,155426,222819,30385.8,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
6.5,8594925,56,153480.8,150145.5,109473,198659,42547.7,"void gsplat::projection_ewa_3dgs_packed_fwd_kernel<float>(unsigned int, unsigned int, unsigned int, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, unsigned int, unsigned int, float, float, float, float, const int *, gsplat::CameraModelType, int *, int *, long *, long *, long *, int *, T1 *, T1 *, T1 *, T1 *)"
5.7,7568898,84,90105.9,84881.0,77249,107330,11829.9,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
1.2,1580854,28,56459.1,56433.0,54145,59744,1135.6,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.2,1534998,28,54821.4,54128.5,52353,58337,2071.3,"void cub::CUB_200700_890_NS::DeviceRadixSortHistogramKernel<cub::CUB_200700_890_NS::DeviceRadixSortPolicy<long, int, unsigned long long>::Policy900, (bool)0, long, unsigned long long, cub::CUB_200700_890_NS::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
1.0,1285070,29,44312.8,44704.0,33089,45408,2178.6,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.8,1130419,29,38980.0,38945.0,38849,39329,108.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.7,903887,28,32281.7,32209.0,31712,32832,345.2,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.6,817741,28,29205.0,29104.5,27873,30400,835.3,"gsplat::intersect_offset_kernel(unsigned int, unsigned int, unsigned int, const long *, unsigned int, unsigned int, unsigned int, int *)"
0.5,694732,28,24811.9,24545.0,23296,29696,1239.9,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.5,602507,28,21518.1,21648.0,20673,22208,442.6,"void at_cuda_detail::cub::DeviceScanKernel<at_cuda_detail::cub::DeviceScanPolicy<long, std::plus<long>>::Policy900, const long *, long *, at_cuda_detail::cub::ScanTileState<long, (bool)1>, std::plus<long>, at_cuda_detail::cub::NullType, unsigned int, long, (bool)0>(T2, T3, T4, int, T5, T6, T7)"
0.4,526214,30,17540.5,17376.0,15744,20352,672.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
